datetime,open,high,low,close
2022-05-16T15:15:00+05:30,15822.4,15866.95,15818.8,15864.5
2022-05-16T14:45:00+05:30,15892.9,15901.55,15809.15,15822.35
2022-05-16T14:15:00+05:30,15875,15902.9,15837,15893.35
2022-05-16T13:45:00+05:30,15873.15,15904.5,15839.75,15874.55
2022-05-16T13:15:00+05:30,15811.1,15880.2,15802.85,15873.7
2022-05-16T12:45:00+05:30,15789.55,15845.8,15767.6,15811.7
2022-05-16T12:15:00+05:30,15813.55,15863.3,15781.3,15789.95
2022-05-16T11:45:00+05:30,15860.35,15870,15804.15,15814
2022-05-16T11:15:00+05:30,15928.4,15933.2,15843.2,15860.2
2022-05-16T10:45:00+05:30,15932.25,15939.9,15887.55,15928.25
2022-05-16T10:15:00+05:30,15944.3,15953.7,15911.55,15931.4
2022-05-16T09:45:00+05:30,15927.85,15977.25,15915.25,15943.8
2022-05-16T09:15:00+05:30,15845.1,15947.2,15741.35,15926.8
2022-05-13T15:15:00+05:30,15753.35,15791,15750.55,15767.15
2022-05-13T14:45:00+05:30,15847.9,15878.4,15741.05,15753.05
2022-05-13T14:15:00+05:30,15935.55,15949.55,15838.3,15846
2022-05-13T13:45:00+05:30,16040.05,16052.8,15929.05,15935.95
2022-05-13T13:15:00+05:30,16075.7,16083.2,16027.45,16041.45
2022-05-13T12:45:00+05:30,16031.1,16076.35,16012.4,16076.35
2022-05-13T12:15:00+05:30,16026,16052.9,15996.7,16033.45
2022-05-13T11:45:00+05:30,16012.05,16056.2,16003.15,16027
2022-05-13T11:15:00+05:30,16003.05,16026.95,15969.35,16011.55
2022-05-13T10:45:00+05:30,15966,16010.1,15956.7,16002
2022-05-13T10:15:00+05:30,15891.95,15975.3,15887.45,15964.8
2022-05-13T09:45:00+05:30,15964.35,15964.35,15889.35,15892.8
2022-05-13T09:15:00+05:30,15977,16031.2,15924.55,15963.6
2022-05-12T15:15:00+05:30,15817.8,15829.8,15803.4,15826.45
2022-05-12T14:45:00+05:30,15777.5,15839.35,15761.75,15817.35
2022-05-12T14:15:00+05:30,15790.4,15794.15,15737.35,15777.5
2022-05-12T13:45:00+05:30,15862.05,15872.3,15780.5,15788.95
2022-05-12T13:15:00+05:30,15831.3,15890.05,15830.4,15862.15
2022-05-12T12:45:00+05:30,15849.85,15859.55,15801.2,15830.3
2022-05-12T12:15:00+05:30,15881.95,15884.75,15808,15850.25
2022-05-12T11:45:00+05:30,15877.5,15881.75,15841.3,15880.5
2022-05-12T11:15:00+05:30,15834.4,15889.85,15825.95,15877.3
2022-05-12T10:45:00+05:30,15903.75,15909.35,15831.95,15835.9
2022-05-12T10:15:00+05:30,15874.15,15925.95,15858.55,15902.9
2022-05-12T09:45:00+05:30,15875.1,15910.25,15866.9,15874.35
2022-05-12T09:15:00+05:30,16021.1,16035.2,15849.75,15875.3
2022-05-11T15:15:00+05:30,16154.6,16203.5,16154.6,16202.25
2022-05-11T14:45:00+05:30,16214.35,16223.75,16137.6,16153.9
2022-05-11T14:15:00+05:30,16173.9,16216.6,16125.5,16215.35
2022-05-11T13:45:00+05:30,16071.25,16182.1,16061.25,16173.65
2022-05-11T13:15:00+05:30,16025.6,16104.5,15993,16071.6
2022-05-11T12:45:00+05:30,16071.1,16077.6,16013.6,16024.8
2022-05-11T12:15:00+05:30,16134,16143.45,16069.3,16070
2022-05-11T11:45:00+05:30,16143.55,16164,16109.95,16133.4
2022-05-11T11:15:00+05:30,16091.55,16158.15,16089.85,16143.65
2022-05-11T10:45:00+05:30,16089.65,16142.4,16085.6,16092.8
2022-05-11T10:15:00+05:30,16153,16183.3,16072.05,16090.4
2022-05-11T09:45:00+05:30,16217.85,16233.2,16142,16153.1
2022-05-11T09:15:00+05:30,16270.05,16316.7,16217.95,16217.95
2022-05-10T15:15:00+05:30,16239.75,16247.15,16198.55,16207.75
2022-05-10T14:45:00+05:30,16354.05,16358.65,16225.2,16239.5
2022-05-10T14:15:00+05:30,16368.2,16375.25,16323.85,16353.45
2022-05-10T13:45:00+05:30,16323,16385.05,16317.25,16368.45
2022-05-10T13:15:00+05:30,16370.05,16374.4,16308.15,16323.3
2022-05-10T12:45:00+05:30,16380.5,16404.45,16358.75,16370.2
2022-05-10T12:15:00+05:30,16386.65,16399.65,16360.55,16378.9
2022-05-10T11:45:00+05:30,16313.1,16389.1,16305.5,16386.45
2022-05-10T11:15:00+05:30,16319.8,16336.35,16286.65,16312.5
2022-05-10T10:45:00+05:30,16323.7,16331.8,16284.85,16320.05
2022-05-10T10:15:00+05:30,16275.05,16328.75,16267.85,16323.85
2022-05-10T09:45:00+05:30,16297.35,16310.35,16253.15,16271.4
2022-05-10T09:15:00+05:30,16248.9,16351.4,16248.9,16299.45
2022-05-09T15:15:00+05:30,16306.15,16324.15,16301.2,16308.4
2022-05-09T14:45:00+05:30,16343.8,16401.35,16276.55,16306.5
2022-05-09T14:15:00+05:30,16250.9,16360.8,16243.1,16343.8
2022-05-09T13:45:00+05:30,16325.45,16335.7,16231.15,16250.9
2022-05-09T13:15:00+05:30,16338.3,16353.3,16289.6,16324.95
2022-05-09T12:45:00+05:30,16391.8,16403.15,16320.5,16337.95
2022-05-09T12:15:00+05:30,16323.4,16392.4,16301.65,16389.95
2022-05-09T11:45:00+05:30,16307.85,16331.1,16286.05,16323.05
2022-05-09T11:15:00+05:30,16237.65,16318.1,16226.4,16307.65
2022-05-09T10:45:00+05:30,16235.8,16251.95,16216.2,16237.5
2022-05-09T10:15:00+05:30,16237.95,16260.6,16219.4,16235.75
2022-05-09T09:45:00+05:30,16217.45,16270.05,16185.6,16237.25
2022-05-09T09:15:00+05:30,16227.7,16269.35,16142.65,16217.5
2022-05-06T15:15:00+05:30,16411.8,16440.85,16409.75,16438.25
